Aasta;Maakond;Kuu;Arv
2019;Jõgeva maakond;Veebruar;4
2019;Järva maakond;Veebruar;6
2019;Lääne maakond;Veebruar;2
2019;Lääne-Viru maakond;Veebruar;13
2019;Põlva maakond;Veebruar;1
2019;Pärnu maakond;Veebruar;11
2019;Rapla maakond;Veebruar;3
2019;Saare maakond;Veebruar;2
2019;Tartu maakond;Veebruar;24
2019;Valga maakond;Veebruar;5
2019;Viljandi maakond;Veebruar;4
2019;Võru maakond;Veebruar;3
2020;Harju maakond;Veebruar;117
2020;..Tallinn;Veebruar;117
2020;Hiiu maakond;Veebruar;2
2020;Ida-Viru maakond;Veebruar;38
2020;Jõgeva maakond;Veebruar;6
2020;Järva maakond;Veebruar;6
2020;Lääne maakond;Veebruar;1
2020;Lääne-Viru maakond;Veebruar;3
2020;Põlva maakond;Veebruar;2
2020;Pärnu maakond;Veebruar;10
2020;Rapla maakond;Veebruar;6
2020;Saare maakond;Veebruar;2
2020;Tartu maakond;Veebruar;25
2020;Valga maakond;Veebruar;6
2020;Viljandi maakond;Veebruar;7
2020;Võru maakond;Veebruar;5
2006;Harju maakond;Märts;174
2006;..Tallinn;Märts;159
2006;Hiiu maakond;Märts;1
2006;Ida-Viru maakond;Märts;41
2006;Jõgeva maakond;Märts;9
2006;Järva maakond;Märts;7
2006;Lääne maakond;Märts;6
2006;Lääne-Viru maakond;Märts;7
2006;Põlva maakond;Märts;2
2006;Pärnu maakond;Märts;22
2006;Rapla maakond;Märts;5
2006;Saare maakond;Märts;7
2006;Tartu maakond;Märts;27
2006;Valga maakond;Märts;7
2006;Viljandi maakond;Märts;14
2006;Võru maakond;Märts;1
2007;Harju maakond;Märts;141
2007;..Tallinn;Märts;133
2007;Hiiu maakond;Märts;5
2007;Ida-Viru maakond;Märts;47
2007;Jõgeva maakond;Märts;7
2007;Järva maakond;Märts;7
2007;Lääne maakond;Märts;8
2007;Lääne-Viru maakond;Märts;11
2007;Põlva maakond;Märts;7
2007;Pärnu maakond;Märts;22
2007;Rapla maakond;Märts;4
2007;Saare maakond;Märts;6
2007;Tartu maakond;Märts;35
2007;Valga maakond;Märts;4
2007;Viljandi maakond;Märts;8
2007;Võru maakond;Märts;5
2008;Harju maakond;Märts;139
2008;..Tallinn;Märts;126
2008;Hiiu maakond;Märts;1
2008;Ida-Viru maakond;Märts;57
2008;Jõgeva maakond;Märts;11
2008;Järva maakond;Märts;7
2008;Lääne maakond;Märts;7
2008;Lääne-Viru maakond;Märts;13
2008;Põlva maakond;Märts;5
2008;Pärnu maakond;Märts;26
2008;Rapla maakond;Märts;7
2008;Saare maakond;Märts;5
2008;Tartu maakond;Märts;27
2008;Valga maakond;Märts;5
2008;Viljandi maakond;Märts;7
2008;Võru maakond;Märts;14
2009;Harju maakond;Märts;164
2009;..Tallinn;Märts;154
2009;Hiiu maakond;Märts;2
2009;Ida-Viru maakond;Märts;71
2009;Jõgeva maakond;Märts;5
2009;Järva maakond;Märts;7
2009;Lääne maakond;Märts;5
2009;Lääne-Viru maakond;Märts;8
2009;Põlva maakond;Märts;4
2009;Pärnu maakond;Märts;24
2009;Rapla maakond;Märts;5
2009;Saare maakond;Märts;3
2009;Tartu maakond;Märts;33
2009;Valga maakond;Märts;2
2009;Viljandi maakond;Märts;7
2009;Võru maakond;Märts;7
2010;Harju maakond;Märts;142
2010;..Tallinn;Märts;126
2010;Hiiu maakond;Märts;1
2010;Ida-Viru maakond;Märts;40
2010;Jõgeva maakond;Märts;4
2010;Järva maakond;Märts;3
2010;Lääne maakond;Märts;8
2010;Lääne-Viru maakond;Märts;10
2010;Põlva maakond;Märts;4
2010;Pärnu maakond;Märts;12
2010;Rapla maakond;Märts;3
2010;Saare maakond;Märts;5
2010;Tartu maakond;Märts;35
2010;Valga maakond;Märts;4
2010;Viljandi maakond;Märts;6
2010;Võru maakond;Märts;7
2011;Harju maakond;Märts;154
