Aadress	ID
Lillemäe tn 24 Lemmatsi Ülenurme vald Tartumaa	2047765
Lillemäe 3 Lemmatsi Ülenurme vald Tartumaa	2047781
Sarapuu Metsapoole Häädemeeste vald Pärnumaa	2047817
Timuti Variku Tartu Tartumaa	2047823
Siilimäe Kirbla Lihula vald Läänemaa	2047892
Tõravere Tõravere Nõo vald Tartumaa	2047897
Tõravere Tõravere Nõo vald Tartumaa	2047917
Tehase Aseri Aseri vald Ida-Virumaa	2047958
Lühike Paide Järvamaa	2048009
Lai Võhma Viljandimaa	2048015
Ojaääre 8 Kolu Türi vald Järvamaa	2048059
Ojaääre 8 Kolu Türi vald Järvamaa	2048060
Marja Elva Tartumaa	2048137
Päikese Märja Tähtvere vald Tartumaa	2048141
Kubja Türi vald Järvamaa	2048357
Kubja Türi vald Järvamaa	2048359
Väluste tee Viiratsi Viljandi vald Viljandimaa	2048525
Kivimänni Puhkova Vaivara vald Ida-Virumaa	2048529
Kuksema Järva-Jaani vald Järvamaa	2048530
Viraksaare Paide vald Järvamaa	2048531
Jaani tee 5 Räni Ülenurme vald Tartumaa	2048535
Väike-Juhani - Pilkuse Otepää vald Valgamaa	2048536
Tamme Koidu Tarvastu vald Viljandimaa	2048538
Võmmorska Piusa Võmmorski Meremäe vald Võrumaa	2048539
Väike-Kaare Viljandi Viljandimaa	2048545
Põllu Elva Tartumaa	2048554
Tallinna Viljandi Viljandimaa	2048558
Tuule Kõrsa Tori vald Pärnumaa	2048562
Ploomi 8 Sindi Pärnumaa	2048597
Roosi Matka Lüganuse vald Ida-Virumaa	2048613
Nõmme Varja Lüganuse vald Ida-Virumaa	2048615
Liiva tn 16 Valga Valgamaa	2048627
Kooli tn Tõrva Valgamaa	2048629
Kooli tn Tõrva Valgamaa	2048630
Liiva tn 16 Valga Valgamaa	2048631
Roosi Matka Lüganuse vald Ida-Virumaa	2048636
Nõmme Varja Lüganuse vald Ida-Virumaa	2048651
Vellavere tee 11 Elva Tartumaa	2048653
Haavakannu Kandiküla Tähtvere vald Tartumaa	2048690
Lähte alevik Lähte Tartu vald Tartumaa	2048692
Laadi tee Uulu Tahkuranna vald Pärnumaa	2048694
uulu Uulu Tahkuranna vald Pärnumaa	2048695
uulu Uulu Tahkuranna vald Pärnumaa	2048696
Laadi tee Uulu Tahkuranna vald Pärnumaa	2048697
Leiva 2 Valga Valgamaa	2048701
Leiva 2 Valga Valgamaa	2048703
