Aadress	ID
Männi tee 22 Järveküla Rae vald Harjumaa	1405694
Männi tee 18 Järveküla Rae vald Harjumaa	1405775
Rehe põik 3 Vääna-Jõesuu Harku vald Harjumaa	1405842
mänimetsa Tuulna Keila vald Harjumaa	1405854
Jõgehara Kanepi vald Põlvamaa	1406071
Nurme tn. Viljandi Viljandimaa	1406090
Tartu mnt. 2 Iisaku alevik Iisaku Iisaku vald Ida-Virumaa	1406404
Nurme põik 2 Kohila Kohila vald Raplamaa	1406653
Miku 8 Metsaääre Surju vald Pärnumaa	1406971
Himma * Himma Laheda vald Põlvamaa	1407028
Tuuleveski 18A Haabersti Tallinn Harjumaa	1407043
