"ID";Aadress;Täisaadress;Objekti liik;Tase1 kood;Tase1 nimetus;Tase2 kood;Tase2 nimetus;Tase3 kood;Tase3 nimetus;Tase4 kood;Tase4 nimetus;Tase5 kood;Tase5 nimetus;Tase6 kood;Tase6 nimetus;Tase7 kood;Tase7 nimetus;Tase8 kood;Tase8 nimetus;Koodaadress;ADR ID;L-Est X;L-Est Y;N;E;N (dms);E (dms)
2236605;Rõõmu Luunja vald Tartumaa;"Tartu maakond, Luunja vald, Rõõmu küla";1;79;Tartu maakond;432;Luunja vald;7189;Rõõmu küla;;;;;;;;;;;794327189000000000000000000000000;3302156;6475321;663213;58,38778;26,7913;"58°23'16.00""";"26°47'28.67"""
2236616;Pärna allee 13 Raadi-Kruusamäe Tartu Tartumaa;Tartu maakond;1;79;Tartu maakond;000;;;;;;;;;;;;;;790000000000000000000000000000000;2822791;6472971;660202;58,36781;26,73822;"58°22'4.12""";"26°44'17.59"""
2236635;Kase 5 Võru Võrumaa;"Võru maakond, Võru linn, Kase tn 5";3;87;Võru maakond;919;Võru linn;;;;;05I5;Kase tn;;;08E6;5;;;879190000000005I5000008E600000000;3238306;6416290;678088;57,8525;27,00024;"57°51'9.00""";"27°0'0.85"""
2236641;Sulevi 6 Võru Võrumaa;"Võru maakond, Võru linn, Sulevi tn 6";3;87;Võru maakond;919;Võru linn;;;;;05HS;Sulevi tn;;;27II;6;;;879190000000005HS000027II00000000;3251762;6414923;678729;57,83998;27,00999;"57°50'23.93""";"27°0'35.96"""
2236684;Akseli Roosi Laheda vald Põlvamaa;Põlva maakond;1;64;Põlva maakond;000;;;;;;;;;;;;;;640000000000000000000000000000000;3132967;6438625;680293;58,05194;27,05446;"58°3'6.97""";"27°3'16.04"""
2236691;Väikesaare 2 Narva Ida-Virumaa;"Ida-Viru maakond, Narva linn, Väikesaare tn 2";3;45;Ida-Viru maakond;511;Narva linn;;;;;0JY1;Väikesaare tn;;;7U9E;2;;;45511000000000JY100007U9E00000000;2850253;6591778;737840;59,39708;28,18909;"59°23'49.49""";"28°11'20.73"""
2236697;Mõisavahe 3 Koigi Koigi vald Järvamaa;"Järva maakond, Järva vald, Koigi küla, Mõisavahe tee 3";3;52;Järva maakond;255;Järva vald;3282;Koigi küla;;;0MTH;Mõisavahe tee;;;7BII;3;;;52255328200000MTH00007BII00000000;2587045;6523136;601177;58,8357;25,75233;"58°50'8.51""";"25°45'8.38"""
2236703;Tuule tn 3 Vändra Vändra vald (alev) Pärnumaa;"Pärnu maakond, Põhja-Pärnumaa vald, Vändra alev, Tuule tn 3";3;68;Pärnu maakond;638;Põhja-Pärnumaa vald;9663;Vändra alev;;;01XY;Tuule tn;;;5NU5;3;;;686389663000001XY00005NU500000000;2922429;6502238;559922;58,6558;25,0324;"58°39'20.88""";"25°1'56.63"""
2236718;Metsa 9 Mustvee Jõgevamaa;"Jõgeva maakond, Mustvee vald, Mustvee linn, Metsa tn 9";3;50;Jõgeva maakond;486;Mustvee vald;5097;Mustvee linn;;;0TBB;Metsa tn;;;BRH8;9;;;50486509700000TBB0000BRH800000000;3382492;6526426;669210;58,84389;26,93191;"58°50'38.02""";"26°55'54.88"""
2236720;Ööbiku maja . Vana-Kaiu Kaiu vald Raplamaa;Rapla maakond;1;71;Rapla maakond;000;;;;;;;;;;;;;;710000000000000000000000000000000;3158008;6540823;545880;59,0039;24,79841;"59°0'14.04""";"24°47'54.26"""
2236723;Matsi kinnistu Mõtsu Varbla vald Pärnumaa;Pärnu maakond;1;68;Pärnu maakond;000;;;;;;;;;;;;;;680000000000000000000000000000000;2908388;6471454;529885;58,38253;24,51088;"58°22'57.11""";"24°30'39.17"""
2236726;Takja tn Tammiste Sauga vald Pärnumaa;"Pärnu maakond, Tori vald, Tammiste küla, Takja tn 1";3;68;Pärnu maakond;809;Tori vald;8120;Tammiste küla;;;0CA9;Takja tn;;;2OL7;1;;;68809812000000CA900002OL700000000;3392202;6472240;535110;58,3892;24,60032;"58°23'21.12""";"24°36'1.14"""
2236729;Posti 12a Kohtla-Nõmme Kohtla-Nõmme vald Ida-Virumaa;"Ida-Viru maakond, Toila vald, Kohtla-Nõmme alev, Posti tn 12a";3;45;Ida-Viru maakond;803;Toila vald;3270;Kohtla-Nõmme alev;;;05LT;Posti tn;;;2TP8;12a;;;458033270000005LT00002TP800000000;2592767;6584612;683081;59,35999;27,22027;"59°21'35.95""";"27°13'12.97"""
2236806;Tallinna mnt 2 Risti Lääne-Nigula vald Läänemaa;"Lääne maakond, Lääne-Nigula vald, Risti alevik, Tallinna mnt 2";3;56;Lääne maakond;441;Lääne-Nigula vald;7011;Risti alevik;;;06ZA;Tallinna mnt;;;0XV8;2;;;564417011000006ZA00000XV800000000;2931475;6539932;503322;58,99834;24,0578;"58°59'54.02""";"24°3'28.08"""
2236820;Koruste Rõngu vald Tartumaa;"Tartu maakond, Elva vald, Koruste küla";1;79;Tartu maakond;171;Elva vald;3457;Koruste küla;;;;;;;;;;;791713457000000000000000000000000;2974765;6445647;628685;58,13303;26,18475;"58°7'58.90""";"26°11'5.09"""
2236831;Nõmmevahe Kilksama Sauga vald Pärnumaa;"Pärnu maakond, Tori vald, Kilksama küla, Nõmmevahe tee 1";3;68;Pärnu maakond;809;Tori vald;3084;Kilksama küla;;;0KHV;Nõmmevahe tee;;;900R;1;;;68809308400000KHV0000900R00000000;3397437;6478904;535355;58,44901;24,60553;"58°26'56.43""";"24°36'19.92"""
2236849;Pikk Toila vald Ida-Virumaa;"Ida-Viru maakond, Toila vald, Toila alevik, Pikk tn 1";3;45;Ida-Viru maakond;803;Toila vald;8275;Toila alevik;;;077N;Pikk tn;;;2FS9;1;;;4580382750000077N00002FS900000000;2592175;6591581;699582;59,41503;27,51642;"59°24'54.11""";"27°30'59.12"""
2236855;Kärla Lääne-Saare vald Saaremaa;Saare maakond;1;74;Saare maakond;000;;;;;;;;;;;;;;740000000000000000000000000000000;100009;6457965;411216;58,25346;22,48768;"58°15'12.44""";"22°29'15.64"""
2237013;Teisaldatav maja Toila Toila vald Ida-Virumaa;"Ida-Viru maakond, Toila vald";1;45;Ida-Viru maakond;803;Toila vald;;;;;;;;;;;;;458030000000000000000000000000000;2591895;6592009;699286;59,41901;27,51161;"59°25'8.42""";"27°30'41.80"""
