ID	Hind	Tube	Üldpind	Seisukord	Ehitusaasta	Aadress	Aasta
2119682	159000	5	171	NA	2013	Ilmarise Saku lähistel Metsanurme Saku vald Harjumaa	2013
2119693	245000	7	305	Valmis	1991	Rahe tn 28 Haabersti Tallinn Harjumaa	2013
2119700	55000	5	187.6	Valmis	1981	Jakobsoni 15 Vändra Vändra vald (alev) Pärnumaa	2013
2119707	370000	5	268.7	Uus	2008	Külaniidu 6 Rohuneeme Viimsi vald Harjumaa	2013
2119708	34000	3	279	Valmis	1920	 Katela Sõmeru vald Lääne-Virumaa	2013
2119712	290000	5	245.3	Uus	2009	Ülevälja Soinaste Ülenurme vald Tartumaa	2013
2119723	79000	4	158.5	Valmis	1978	Luha Viljandi Viljandimaa	2013
2119725	98000	6	196	Vajab renoveerimist	1940	Raadiojaama Türi Türi vald Järvamaa	2013
2119754	19999	3	152.4	Vajab renoveerimist	1978	Paju Mustmätta Lüganuse vald Ida-Virumaa	2013
2119764	59000	5	157	NA	1982	Kihlevere Kihlevere Kadrina vald Lääne-Virumaa	2013
2119773	135000	3	122.8	Uus	2005	Soodla küla Soodla Anija vald Harjumaa	2013
2119817	250000	NA	155	Vajab renoveerimist	1910	Sihi 78 / Valdeku 27 Nõmme Tallinn Harjumaa	2013
2119826	59000	2	155	Vajab renoveerimist	1935	Silla Pikva Anija vald Harjumaa	2013
2119828	69000	4	110	Uus	2013	Kõrtsi Kõrkküla Aseri vald Ida-Virumaa	2013
2119834	260000	6	238.8	Valmis	1939	Ranna tee 46 Pirita Tallinn Harjumaa	2013
2119862	139000	5	135	Vajab renoveerimist	1935	Männiku tee 25 Nõmme Tallinn Harjumaa	2013
2119864	15750	3	50.8	Vajab san. remonti	1953	Kase 23 Valga Valgamaa	2013
2119868	38000	4	86.6	Valmis	1952	Välja Tõrva Valgamaa	2013
2119871	149999	6	140	Uus	2011	Põhja Küla Kadaka tee Uuekadaka Kuusalu vald Harjumaa	2013
2119880	189000	4	180	Uus	2005	Pirnipuu pst. Maardu Harjumaa	2013
2119881	38000	4	111	Keskmine	1960	Spordi 3 Tõrva Valgamaa	2013
2119905	570000	5	275	NA	2007	Kannustiiva 3 Kloostrimetsa Pirita Tallinn Harjumaa	2013
2119906	590000	4	275	NA	2007	Kannustiiva tn 9 Kloostrimetsa Pirita Tallinn Harjumaa	2013
2119920	340000	5	202	Valmis	2003	Nurme Põik Haabneeme Viimsi vald Harjumaa	2013
2119921	27000	4	99.9	Valmis	1960	Roosna-Alliku Roosna-Alliku vald Järvamaa	2013
2119923	125905	4	164	Uus	2008	Ristiku Viiratsi Viljandi vald Viljandimaa	2013
2119924	144000	4	112	Valmis	2003	Otsa Rebala Jõelähtme vald Harjumaa	2013
2119927	23500	4	350	Valmis	1936	Piigandi Rõngu vald Tartumaa	2013
2119931	149000	4	180	Renoveeritud	1961	Ugala pst 19 Viljandi Viljandimaa	2013
