Sisend ID;PAARID;KOHAD;POS_KOHAD;KOLLOKAADID;POS_KOLLOKAADID;NER_KOLLOKAADID;KOKKU;KOHT_KOKKU;KOLL_KOKKU;N;E;Z-skoor;Täisaadress;Kvaliteet;Objekti liik;Koodaadress;L-Est X;L-Est Y;N;E;N (dms);E (dms)
64;Jägala ilmatu;Jägala;H;ilmatu;A;O;1;8;3;45442;0,000528146;43,49042647;Harju maakond, Jõelähtme vald, Jägala küla;Leiti aadress, üks objekti vaste;1;372452299000000000000000000000000;6586712;570366;59.41246;25.23918;"59°24'44.85""";"25°14'21.06"""
65;Paide imelik;Paide;H;imelik;A;O;1;1;25;45442;0,000550152;42,61080321;Järva maakond, Paide linn;Leiti aadress, üks objekti vaste;1;525670000000000000000000000000000;6533503;592859;58.93061;25.61264;"58°55'50.21""";"25°36'45.50"""
66;Viru lastud;Viru;H;lastud;A;O;1;9;3;45442;0,000594164;41,00045891;Võru maakond, Rõuge vald, Viru küla;Leiti aadress, üks objekti vaste;1;876989391000000000000000000000000;6403503;663727;57.74332;26.74976;"57°44'35.97""";"26°44'59.12"""
67;Järva praegune;Järva;H;praegune;A;O;1;3;9;45442;0,000594164;41,00045891;Järva maakond;Leiti aadress, üks objekti vaste;1;520000000000000000000000000000000;6528508;590491;58.88629;25.5695;"58°53'10.63""";"25°34'10.20"""
68;Poola kuulus;Poola;H;kuulus;A;O;1;3;9;45442;0,000594164;41,00045891;Tartu maakond, Elva vald, Neemisküla, Poola;Leiti aadress, üks objekti vaste;3;791715393000000000B8R000000000000;6463948;627511;58.2976;26.1749;"58°17'51.35""";"26°10'29.64"""
69;Vene säälne;Vene;H;säälne;A;O;1;28;1;45442;0,00061617;40,26076487;Lääne-Viru maakond, Vinni vald, Venevere küla;Leiti aadress, üks objekti vaste;1;609019204000000000000000000000000;6544575;655117;59.012;26.70065;"59°0'43.19""";"26°42'2.34"""
70;Vene ustav;Vene;H;ustav;A;O;1;28;1;45442;0,00061617;40,26076487;Lääne-Viru maakond, Vinni vald, Venevere küla;Leiti aadress, üks objekti vaste;1;609019204000000000000000000000000;6544575;655117;59.012;26.70065;"59°0'43.19""";"26°42'2.34"""
71;Kose madal;Kose;H;madal;A;O;1;4;7;45442;0,00061617;40,26076487;Harju maakond, Kose vald;Leiti aadress, üks objekti vaste;1;373380000000000000000000000000000;6561137;566682;59.18351;25.16649;"59°11'0.63""";"25°9'59.36"""
72;Harju kihutanud;Harju;H;kihutanud;A;O;1;7;4;45442;0,00061617;40,26076487;Harju maakond;Leiti aadress, üks objekti vaste;1;370000000000000000000000000000000;6588644;542220;59.43353;24.74395;"59°26'0.72""";"24°44'38.21"""
73;Liivi suur;Liivi;H;suur;A;O;8;15;119;45442;0,039280842;40,16630775;Lääne maakond, Lääne-Nigula vald, Liivi küla;Leiti aadress, üks objekti vaste;1;564414361000000000000000000000000;6523888;498261;58.85431;23.96987;"58°51'15.52""";"23°58'11.53"""
74;Kuimetsa varjamata;Kuimetsa;H;varjamata;A;O;1;29;1;45442;0,000638176;39,55965313;Rapla maakond, Rapla vald, Kuimetsa küla;Leiti aadress, üks objekti vaste;1;716683541000000000000000000000000;6545803;564378;59.04623;25.12171;"59°2'46.41""";"25°7'18.14"""
75;Kuimetsa teadev;Kuimetsa;H;teadev;A;O;1;29;1;45442;0,000638176;39,55965313;Rapla maakond, Rapla vald, Kuimetsa küla;Leiti aadress, üks objekti vaste;1;716683541000000000000000000000000;6545803;564378;59.04623;25.12171;"59°2'46.41""";"25°7'18.14"""
76;Kuimetsa tuldud;Kuimetsa;H;tuldud;A;O;1;29;1;45442;0,000638176;39,55965313;Rapla maakond, Rapla vald, Kuimetsa küla;Leiti aadress, üks objekti vaste;1;716683541000000000000000000000000;6545803;564378;59.04623;25.12171;"59°2'46.41""";"25°7'18.14"""
77;Kuimetsa kullatud;Kuimetsa;H;kullatud;A;O;1;29;1;45442;0,000638176;39,55965313;Rapla maakond, Rapla vald, Kuimetsa küla;Leiti aadress, üks objekti vaste;1;716683541000000000000000000000000;6545803;564378;59.04623;25.12171;"59°2'46.41""";"25°7'18.14"""
78;Kuimetsa surelik;Kuimetsa;H;surelik;A;O;1;29;1;45442;0,000638176;39,55965313;Rapla maakond, Rapla vald, Kuimetsa küla;Leiti aadress, üks objekti vaste;1;716683541000000000000000000000000;6545803;564378;59.04623;25.12171;"59°2'46.41""";"25°7'18.14"""
79;Kuimetsa kõikumata;Kuimetsa;H;kõikumata;A;O;1;29;1;45442;0,000638176;39,55965313;Rapla maakond, Rapla vald, Kuimetsa küla;Leiti aadress, üks objekti vaste;1;716683541000000000000000000000000;6545803;564378;59.04623;25.12171;"59°2'46.41""";"25°7'18.14"""
80;Kuimetsa seisav;Kuimetsa;H;seisav;A;O;1;29;1;45442;0,000638176;39,55965313;Rapla maakond, Rapla vald, Kuimetsa küla;Leiti aadress, üks objekti vaste;1;716683541000000000000000000000000;6545803;564378;59.04623;25.12171;"59°2'46.41""";"25°7'18.14"""
81;Kuimetsa soovitav;Kuimetsa;H;soovitav;A;O;1;29;1;45442;0,000638176;39,55965313;Rapla maakond, Rapla vald, Kuimetsa küla;Leiti aadress, üks objekti vaste;1;716683541000000000000000000000000;6545803;564378;59.04623;25.12171;"59°2'46.41""";"25°7'18.14"""
82;Kuimetsa peetav;Kuimetsa;H;peetav;A;O;1;29;1;45442;0,000638176;39,55965313;Rapla maakond, Rapla vald, Kuimetsa küla;Leiti aadress, üks objekti vaste;1;716683541000000000000000000000000;6545803;564378;59.04623;25.12171;"59°2'46.41""";"25°7'18.14"""
83;Pirita valitsev;Pirita;H;valitsev;A;O;1;16;2;45442;0,000704194;37,65717998;Harju maakond, Tallinn, Pirita linnaosa;Leiti aadress, üks objekti vaste;1;377840596000000000000000000000000;6592619;547345;59.46867;24.83512;"59°28'7.21""";"24°50'6.43"""
84;Lasna määratu;Lasna;H;määratu;A;O;1;8;4;45442;0,000704194;37,65717998;Harju maakond, Tallinn, Lasnamäe linnaosa;Leiti aadress, üks objekti vaste;1;377840387000000000000000000000000;6588567;546772;59.43236;24.82413;"59°25'56.51""";"24°49'26.88"""
85;Saksa-Rootsi terve;Saksa-Rootsi;H;terve;A;O;1;1;33;45442;0,0007262;37,08141083;;Aadressi ei leitud;;;;;;;;
86;Marienthal täis;Marienthal;H;täis;A;O;1;1;34;45442;0,000748207;36,53122171;Saare maakond, Saaremaa vald, Kuressaare linn, Marientali tee 13;Ajalooline aadress, leiti uus kehtiv vaste;3;74714365500000RN80000ARSZ00000000;6457769;412388;58.25193;22.50771;"58°15'6.95""";"22°30'27.75"""
87;Maarja täis;Maarja;H;täis;A;O;1;1;34;45442;0,000748207;36,53122171;Tartu maakond, Tartu vald, Maarja-Magdaleena küla;Leiti aadress, üks objekti vaste;1;797964709000000000000000000000000;6499907;659754;58.60961;26.74943;"58°36'34.61""";"26°44'57.96"""
88;Harju vaikne;Harju;H;vaikne;A;O;1;7;5;45442;0,000770213;36,00477229;Harju maakond;Leiti aadress, üks objekti vaste;1;370000000000000000000000000000000;6588644;542220;59.43353;24.74395;"59°26'0.72""";"24°44'38.21"""
89;Harju aastane;Harju;H;aastane;A;O;1;7;5;45442;0,000770213;36,00477229;Harju maakond;Leiti aadress, üks objekti vaste;1;370000000000000000000000000000000;6588644;542220;59.43353;24.74395;"59°26'0.72""";"24°44'38.21"""
90;Harju tuttav;Harju;H;tuttav;A;O;1;7;5;45442;0,000770213;36,00477229;Harju maakond;Leiti aadress, üks objekti vaste;1;370000000000000000000000000000000;6588644;542220;59.43353;24.74395;"59°26'0.72""";"24°44'38.21"""
