PAARID;KOHAD;POS_KOHAD;KOLLOKAADID;POS_KOLLOKAADID;NER_KOLLOKAADID;KOKKU;KOHT_KOKKU;KOLL_KOKKU;N;E;Z-skoor
Eesti põhjatu;Eesti;H;põhjatu;A;O;2;21;3;45442;0.001386382641609084;53.676882692542705
Lasna põlenud;Lasna;H;põlenud;A;O;1;8;2;45442;0.0003520971788213547;53.27405890390913
Pirita õnnis;Pirita;H;õnnis;A;O;1;16;1;45442;0.0003520971788213547;53.27405890390913
Pirita kardetud;Pirita;H;kardetud;A;O;1;16;1;45442;0.0003520971788213547;53.27405890390913
Pirita abtessiga;Pirita;H;abtessiga;A;O;1;16;1;45442;0.0003520971788213547;53.27405890390913
Rootsi langev;Rootsi;H;langev;A;O;1;18;1;45442;0.00039610932617402405;50.22505302799472
vene tapetud;vene;G;tapetud;A;O;1;6;3;45442;0.00039610932617402405;50.22505302799472
Pihkva kuulus;Pihkva;H;kuulus;A;O;1;2;9;45442;0.00039610932617402405;50.22505302799472
Rootsi kogutud;Rootsi;H;kogutud;A;O;1;18;1;45442;0.00039610932617402405;50.22505302799472
Rootsi visanud;Rootsi;H;visanud;A;O;1;18;1;45442;0.00039610932617402405;50.22505302799472
Lasna praegune;Lasna;H;praegune;A;O;2;8;9;45442;0.0015844373046960962;50.20515053251867
Poola imelik;Poola;H;imelik;A;O;2;3;25;45442;0.0016504555257251;49.18917547376515
Rootsi-Saksa sügav;Rootsi-Saksa;H;sügav;A;O;1;1;20;45442;0.00044012147352669336;47.64557104413246
Eesti kardetud;Eesti;H;kardetud;A;O;1;21;1;45442;0.000462127547203028;46.496292583735205
Eesti korrapäraline;Eesti;H;korrapäraline;A;O;1;21;1;45442;0.000462127547203028;46.496292583735205
Eesti punapõseline;Eesti;H;punapõseline;A;O;1;21;1;45442;0.000462127547203028;46.496292583735205
Eesti lällitav;Eesti;H;lällitav;A;O;1;21;1;45442;0.000462127547203028;46.496292583735205
Läti paras;Läti;H;paras;A;O;1;2;11;45442;0.0004841336208793627;45.42626925776621
Moskva nägus;Moskva;H;nägus;A;O;1;11;2;45442;0.0004841336208793627;45.42626925776621
Lõuna-Liivi kindel;Lõuna-Liivi;H;kindel;A;O;1;1;23;45442;0.0005061396945556974;44.42678962714363
Lasna olev;Lasna;H;olev;A;O;1;8;3;45442;0.0005281457682320321;43.490426473103646
vene seisev;vene;G;seisev;A;O;1;6;4;45442;0.0005281457682320321;43.490426473103646
Lääs tunginud;Lääs;H;tunginud;A;O;1;3;8;45442;0.0005281457682320321;43.490426473103646
Jägala ilmatu;Jägala;H;ilmatu;A;O;1;8;3;45442;0.0005281457682320321;43.490426473103646
Paide imelik;Paide;H;imelik;A;O;1;1;25;45442;0.0005501518419083667;42.61080320941911
