id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_MNIMI	Added geom info_MKOOD	Added geom info_xcoord	Added geom info_ycoord
"16992"	"1884"	"7"	"13"	"158"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Võnnu	Ahja	"720"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"16982"	"1884"	"7"	"6"	"148"	Laenud ja võlanõuded	Tartu	Võnnu	Ahja	"1052"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17947"	"1863"	"10"	"12"	"35"	NULL	Saare	Kihelkonna	Kotlandi	"98"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"17008"	"1861"	"12"	NULL	"42"	NULL	Saare	Kihelkonna	Kotlandi	"100"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"16981"	"1884"	"7"	"6"	"147"	Kahjutasu	Tartu	Võnnu	Ahja	"974"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"20798"	"1870"	"4"	"1"	"15"	Varavastased kuriteod	Järva	Anna	Purdi	"181"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"17002"	"1881"	"12"	"4"		NULL	Harju	Kose	Palvere	"327"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"17009"	"1862"	"1"	"13"	"1"	NULL	Saare	Kihelkonna	Kotlandi	"100"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"18952"	"1871"	"6"	"22"	"76"	Muud üleastumised	Tartu	Torma	Avinurme	"251"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19053"	"1911"	"3"	"10"	"8"	Varalised tehingud	Saare	Kaarma	Loona	"1202"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"17074"	"1882"	"4"	"2"	"7"	Sõim ja vägivald	Harju	Kose	Palvere	"2200"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"17948"	"1863"	"10"	"19"	"36"	NULL	Saare	Kihelkonna	Kotlandi	"102"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"16995"	"1884"	"7"	"20"	"161"	Kahjutasu	Tartu	Võnnu	Ahja	"709"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18953"	"1887"	"6"	"19"	"57"	Perekonna- ja pärimisasjad	Tartu	Võnnu	Ahja	"2214"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"20800"	"1870"	"4"	"1"	"17"	Varavastased kuriteod	Järva	Anna	Purdi	"108"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"18497"	"1857"	"3"	"1"	"32"	Perekonna- ja pärimisasjad	Tartu	Kodavere	Alatskivi	"2101"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19182"	"1866"	"7"	"25"	"43"	Sõim ja vägivald	Võru	Räpina	Kahkva	"1553"	Võru maakond	"0087"	680247.817063047	6408135.79838293
"19322"	"1867"	"4"	"5"	"3"	Laenud ja võlanõuded	Viljandi	Viljandi	Karula	"659"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"17010"	"1862"	"1"	"20"	"2"	NULL	Saare	Kihelkonna	Kotlandi	"96"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"16997"	"1884"	"7"	"20"	"164"	Kahjutasu	Tartu	Võnnu	Ahja	"538"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"16974"	"1881"	"11"	"20"	"30"	Kahjutasu	Harju	Kose	Palvere	"1655"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"20805"	"1870"	"4"	"1"	"19"	Varavastased kuriteod	Järva	Anna	Purdi	"184"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"17095"	"1884"	"8"	"10"	"184"	Kahjutasu	Tartu	Võnnu	Ahja	"506"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19326"	"1867"	"4"	"5"	"6"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Viljandi	Viljandi	Karula	"210"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"20806"	"1870"	"4"	"1"	"21"	Varavastased kuriteod	Järva	Anna	Purdi	"144"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"18795"	"1873"	"7"	"7"	"8"	Sõim ja vägivald	Harju	Kose	Triigi	"1740"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"17011"	"1862"	"1"	"27"	"3"	NULL	Saare	Kihelkonna	Kotlandi	"101"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"16922"	"1895"	"11"	"16"	"20"	Laenud ja võlanõuded	Viljandi	Põltsamaa	Adavere	"846"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"18955"	"1887"	"7"	"3"	"58"	Perekonna- ja pärimisasjad	Tartu	Võnnu	Ahja	"1330"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19328"	"1867"	"4"	"5"	"8"	"Perekonna- ja pärimisasjad; Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Viljandi	Viljandi	Karula	"461"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"17001"	"1881"	"11"	"20"	"31"	Töö- ja teenistussuhted	Harju	Kose	Palvere	"1602"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"18498"	"1889"	"2"	"13"	"2"	Varavastased kuriteod	Järva	Türi	Väätsa	"1214"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"17012"	"1862"	"2"	"3"	"4"	NULL	Saare	Kihelkonna	Kotlandi	"101"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"18796"	"1873"	"7"	"7"	"9"	"Kahjutasu; Muud üleastumised"	Harju	Kose	Triigi	"278"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"20807"	"1870"	"4"	"1"	"22"	Varavastased kuriteod	Järva	Anna	Purdi	"93"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"17013"	"1862"	"2"	"10"	"5"	Laenud ja võlanõuded	Saare	Kihelkonna	Kotlandi	"271"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"20808"	"1870"	"4"	"1"	"20"	NULL	Järva	Anna	Purdi	"109"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"17406"	"1887"	"12"	"18"	"15"	Sõim ja vägivald	Järva	Türi	Väätsa	"336"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"17429"	"1888"	"1"	"25"	1-2	Kahjutasu	Järva	Türi	Väätsa	"3357"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"17949"	"1863"	"10"	"26"	"37"	Varavastased kuriteod	Saare	Kihelkonna	Kotlandi	"439"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"23139"	"1871"	"6"	"19"	"3,4"	"Sõim ja vägivald; Varavastased kuriteod"	Lääne	Pühalepa	Kärdla	"604"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"18499"	"1889"	"2"	"13"	2-2	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.; Laenud ja võlanõuded"	Järva	Türi	Väätsa	"1445"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"18797"	"1873"	"7"	"7"	"10"	Kahjutasu	Harju	Kose	Triigi	"494"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"20809"	"1870"	"4"	"1"	"23"	Varavastased kuriteod	Järva	Anna	Purdi	"146"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"19371"	"1887"	"11"	"27"	"126"	Kahjutasu	Tartu	Võnnu	Ahja	"342"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19330"	"1867"	"4"	"5"	"10"	Vallamagas	Viljandi	Viljandi	Karula	"1003"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"17003"	"1881"	"12"	"18"	"32"	Kahjutasu	Harju	Kose	Palvere	"1266"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"17014"	"1862"	"2"	"17"	"6"	NULL	Saare	Kihelkonna	Kotlandi	"101"	Saare maakond	"0074"	415113.808163332	6473268.50586371
