id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters
8746	1854	4	28	65	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	139
8811	1888	8	22	102	Perekonna- ja pärimisasjad	Võru	Räpina	Kahkva	1072
8816	1854	5	10	71	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	589
8941	1863	3	13	9	Varavastased kuriteod	Tartu	Torma	Avinurme	226
8714	1854	3	12	41	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	909
22406	1857	4	26	68	Perekonna- ja pärimisasjad; Kahjutasu; Muud üleastumised	Tartu	Kodavere	Alatskivi	440
8732	1854	3	29	53	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	312
8747	1854	5	3	66	Perekonna- ja pärimisasjad	Viljandi	Põltsamaa	Uue-Põltsamaa	404
16532	1861	5	27	17	NULL	Saare	Kihelkonna	Kotlandi	101
7179	1884	4	19	77	NULL	Viljandi	Kõpu	Suure-Kõpu	384
22041	1884	4	27		NULL	Saare	Karja	Leisi	211
10373	1901	6	22	14	Perekonna- ja pärimisasjad	Tartu	Torma	Avinurme	2607
21320	1874	12	5		NULL	Harju	Kose	Triigi	354
10369	1882	7	17	28	Töö- ja teenistussuhted	Viru	Haljala	Vihula	952
8726	1854	3	22	49	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	152
8733	1854	3	29	54	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	131
8737	1854	4	26	58	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	294
8748	1854	5	3	67	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	177
8797	1881	1	28	03	Töö- ja teenistussuhted	Võru	Põlva	Kiuma	944
7175	1884	4	19	74	NULL	Viljandi	Kõpu	Suure-Kõpu	322
8717	1854	3	13	42	Riiklikud, kiriklikud ja kogukondlikud koormised	Viljandi	Põltsamaa	Uue-Põltsamaa	624
12830	1894	12	19	36	Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Lääne	Kullamaa	Piirsalu	488
8725	1886	3	1	7	Laenud ja võlanõuded	Järva	Türi	Särevere	561
8734	1854	3	29	55	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	178
8738	1854	4	26	59	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	207
8813	1888	9	1	104	Muud üleastumised	Võru	Räpina	Kahkva	191
8818	1894	3	18	66/14	Varalised tehingud	Lääne	Emmaste	Emmaste	338
8730	1886	3	1	8	Laenud ja võlanõuded	Järva	Türi	Särevere	597
1854	1871	12	28	16	Kahjutasu	Harju	Hageri	Kohila	347
8736	1854	4	19	57	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	819
8739	1886	3	1	9	Töö- ja teenistussuhted	Järva	Türi	Särevere	962
8753	1877	12	6	41	NULL	Võru	Rõuge	Saaluse	1870
1856	1872	1	18	1	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	58
8681	1881	6	25	17	Sõim ja vägivald	Harju	Juuru	Kaiu	896
8740	1854	4	26	60	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	600
8749	1854	5	3	68	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	580
8659	1885	3	14	36	Kool	Pärnu	Tori	Sindi	1394
8764	1835	6	9		Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Viljandi	Paistu	Holstre	486
8776	1873	8	28		NULL	Viljandi	Põltsamaa	Pajusi	183
10150	1868	11	8	1	Varavastased kuriteod	Järva	Järva-Jaani	Einmanni	1472
8741	1854	4	26	61	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	777
8757	1835	6	9		Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Viljandi	Paistu	Holstre	196
8763	1885	3	14	38	Kahjutasu	Pärnu	Tori	Sindi	334
8777	1873	8	28		Kahjutasu	Viljandi	Põltsamaa	Pajusi	288
1857	1872	1	31	2	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	58
8819	1894	3	18	67/15	Varalised tehingud	Lääne	Emmaste	Emmaste	353
9305	1888	5	21	2	Perekonna- ja pärimisasjad	Lääne	Kullamaa	Piirsalu	602
13044	1876	8	13		Kahjutasu	Tartu	Kodavere	Alatskivi	1931
8778	1873	8	28		Laenud ja võlanõuded	Viljandi	Põltsamaa	Pajusi	130
8752	1854	5	10	70	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	1031
8750	1886	3	1	11	Varavastased kuriteod	Järva	Türi	Särevere	2232
8766	1885	3	14	39	NULL	Pärnu	Tori	Sindi	442
8751	1854	5	10	69	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	1068
8769	1873	8	28		Laenud ja võlanõuded	Viljandi	Põltsamaa	Pajusi	444
8759	1835	6	9		Sõim ja vägivald	Viljandi	Paistu	Holstre	475
10151	1868	11	22	1	Sõim ja vägivald	Järva	Järva-Jaani	Einmanni	745
11484	1885	6	4	144	Laenud ja võlanõuded	Tartu	Otepää	Pühajärve	729
8705	1835	6	9		Perekonna- ja pärimisasjad; Suhted kõrgemate kohtutega. Kriminaalasjade algatamine. 	Viljandi	Paistu	Holstre	1618
8754	1835	6	9		Määratlemata	Viljandi	Paistu	Holstre	493
12831	1894	12	19	37	Varalised tehingud	Lääne	Kullamaa	Piirsalu	405
14816	1890	4	27	14	Riiklikud, kiriklikud ja kogukondlikud koormised	Lääne	Vormsi	Vormsi	265
10152	1868	11	22	2	Perekonna- ja pärimisasjad; Sotsiaalabi	Järva	Järva-Jaani	Einmanni	282
15221	1859	4	27	9	Perekonna- ja pärimisasjad	Saare	Kihelkonna	Kotlandi	372
8761	1885	3	14	37	Töö- ja teenistussuhted	Pärnu	Tori	Sindi	849
8756	1886	4	5	12	Sõim ja vägivald	Järva	Türi	Särevere	1525
10153	1868	11	22	3	Varavastased kuriteod	Järva	Järva-Jaani	Einmanni	269
10431	1867	9	23	4	Riiklikud, kiriklikud ja kogukondlikud koormised	Lääne	Käina	Putkaste	387
16637	1885	12	2	15-41	Varalised tehingud	Järva	Türi	Väätsa	954
1461	1890	2	7	2	Kahjutasu; Laenud ja võlanõuded	Harju	Hageri	Kohila	1337
8762	1886	4	5	13	Sõim ja vägivald	Järva	Türi	Särevere	1480
9181	1884	1	21		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	145
8779	1867	8	24		Kahjutasu	Harju	Keila	Harku	351
8799	1879	11	15	329	NULL	Tartu	Kodavere	Alatskivi	718
4878	1865	7	14	61	Laenud ja võlanõuded	Tartu	Kodavere	Alatskivi	279
9388	1880	1	7	1	NULL	Viru	Haljala	Vihula	140
6310	1888	6	4	2	Varalised tehingud	Tartu	Torma	Avinurme	1430
8767	1885	4	4	40	NULL	Pärnu	Tori	Sindi	1231
16534	1861	6	3	18	NULL	Saare	Kihelkonna	Kotlandi	101
8800	1879	11	15	330	NULL	Tartu	Kodavere	Alatskivi	407
8780	1873	11	20		Kahjutasu	Viljandi	Põltsamaa	Pajusi	306
8792	1888	8	16	96	Muud üleastumised	Võru	Räpina	Kahkva	189
8772	1886	4	5	14	Sõim ja vägivald	Järva	Türi	Särevere	1907
8773	1885	4	4	41	Laenud ja võlanõuded	Pärnu	Tori	Sindi	674
8774	1885	4	4	42	Kahjutasu	Pärnu	Tori	Sindi	490
8770	1873	8	28		Sõim ja vägivald	Viljandi	Põltsamaa	Pajusi	803
8781	1867	11	9	8	Töö- ja teenistussuhted	Harju	Keila	Harku	613
11485	1885	6	25	145	Laenud ja võlanõuded	Tartu	Otepää	Pühajärve	419
8677	1867	8	24		NULL	Harju	Keila	Harku	361
9183	1884	2	11		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	146
9307	1888	11	26	3	Perekonna- ja pärimisasjad	Lääne	Kullamaa	Piirsalu	532
8802	1878	3	20	2	Määratlemata	Viru	Väike-Maarja	Porkuni	144
8793	1888	8	16	97	Kahjutasu; Töö- ja teenistussuhted	Võru	Räpina	Kahkva	1363
