id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_KOOD	Added geom info_MAAKOND	Added geom info_KUBERMANG	Added geom info_xcoord	Added geom info_ycoord
"14453"	"1886"	"8"	"1"	"25"	Kahjutasu	Järva	Türi	Särevere	"1296"	d97192	Järva	Eestimaa	581053.656070628	6521624.13897247
"12011"	"1866"	"2"	"8"		"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Võru	Räpina	Räpina	"1434"	d97174	Võru	Liivimaa	699441.264460731	6445131.29728697
"12012"	"1866"	"2"	"8"		"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Võru	Räpina	Räpina	"1046"	d97174	Võru	Liivimaa	699441.264460731	6445131.29728697
"12013"	"1887"	"8"	"4"		NULL	Harju	Keila	Keila	"180"	d97135	Harju	Eestimaa	525841.120598664	6578101.06091372
"11921"	"1879"	"2"	"3"		Määratlemata	Lääne	Martna	Martna	"582"	d97152	Haapsalu	Eestimaa	492335.303597346	6521392.22820013
"18923"	"1887"	"6"	"5"	"49"	Laenud ja võlanõuded	Tartu	Võnnu	Ahja	"831"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"11764"	"1887"	"7"	"25"		"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Harju	Keila	Keila	"1743"	d97135	Harju	Eestimaa	525841.120598664	6578101.06091372
"11907"	"1879"	"1"	"13"		Määratlemata	Lääne	Martna	Martna	"452"	d97152	Haapsalu	Eestimaa	492335.303597346	6521392.22820013
"11920"	"1879"	"2"	"24"		Määratlemata	Lääne	Martna	Martna	"402"	d97152	Haapsalu	Eestimaa	492335.303597346	6521392.22820013
"11922"	"1879"	"3"	"10"		Määratlemata	Lääne	Martna	Martna	"584"	d97152	Haapsalu	Eestimaa	492335.303597346	6521392.22820013
"12014"	"1887"	"9"	"1"	"7"	Sõim ja vägivald	Harju	Keila	Keila	"2511"	d97135	Harju	Eestimaa	525841.120598664	6578101.06091372
