Aasta;Maakond;Juhendaja_haridus;Arv
2011;Ida-Viru maakond;Kutseharidus;0
2011;Jõgeva maakond;Kutseharidus;0
2011;Järva maakond;Kutseharidus;0
2011;Lääne maakond;Kutseharidus;0
2011;Lääne-Viru maakond;Kutseharidus;0
2011;Põlva maakond;Kutseharidus;0
2011;Pärnu maakond;Kutseharidus;0
2011;Rapla maakond;Kutseharidus;0
2011;Saare maakond;Kutseharidus;0
2011;Tartu maakond;Kutseharidus;0
2011;Valga maakond;Kutseharidus;0
2011;Viljandi maakond;Kutseharidus;0
2011;Võru maakond;Kutseharidus;0
2012;Harju maakond;Kutseharidus;0
2012;Hiiu maakond;Kutseharidus;1
2012;Ida-Viru maakond;Kutseharidus;0
2012;Jõgeva maakond;Kutseharidus;0
2012;Järva maakond;Kutseharidus;0
2012;Lääne maakond;Kutseharidus;0
2012;Lääne-Viru maakond;Kutseharidus;0
2012;Põlva maakond;Kutseharidus;0
2012;Pärnu maakond;Kutseharidus;0
2012;Rapla maakond;Kutseharidus;1
2012;Saare maakond;Kutseharidus;2
2012;Tartu maakond;Kutseharidus;0
2012;Valga maakond;Kutseharidus;0
2012;Viljandi maakond;Kutseharidus;0
2012;Võru maakond;Kutseharidus;1
2013;Harju maakond;Kutseharidus;0
2013;Hiiu maakond;Kutseharidus;1
2013;Ida-Viru maakond;Kutseharidus;0
2013;Jõgeva maakond;Kutseharidus;0
2013;Järva maakond;Kutseharidus;0
2013;Lääne maakond;Kutseharidus;0
2013;Lääne-Viru maakond;Kutseharidus;0
2013;Põlva maakond;Kutseharidus;0
2013;Pärnu maakond;Kutseharidus;0
2013;Rapla maakond;Kutseharidus;1
2013;Saare maakond;Kutseharidus;2
2013;Tartu maakond;Kutseharidus;0
2013;Valga maakond;Kutseharidus;0
2013;Viljandi maakond;Kutseharidus;0
2013;Võru maakond;Kutseharidus;1
2014;Harju maakond;Kutseharidus;0
2014;Hiiu maakond;Kutseharidus;1
2014;Ida-Viru maakond;Kutseharidus;0
2014;Jõgeva maakond;Kutseharidus;0
2014;Järva maakond;Kutseharidus;0
2014;Lääne maakond;Kutseharidus;0
2014;Lääne-Viru maakond;Kutseharidus;0
2014;Põlva maakond;Kutseharidus;0
2014;Pärnu maakond;Kutseharidus;0
2014;Rapla maakond;Kutseharidus;1
2014;Saare maakond;Kutseharidus;2
2014;Tartu maakond;Kutseharidus;0
2014;Valga maakond;Kutseharidus;0
2014;Viljandi maakond;Kutseharidus;0
2014;Võru maakond;Kutseharidus;1
2015;Harju maakond;Kutseharidus;0
2015;Hiiu maakond;Kutseharidus;1
2015;Ida-Viru maakond;Kutseharidus;0
2015;Jõgeva maakond;Kutseharidus;0
2015;Järva maakond;Kutseharidus;0
2015;Lääne maakond;Kutseharidus;0
2015;Lääne-Viru maakond;Kutseharidus;0
2015;Põlva maakond;Kutseharidus;0
2015;Pärnu maakond;Kutseharidus;0
2015;Rapla maakond;Kutseharidus;1
2015;Saare maakond;Kutseharidus;2
2015;Tartu maakond;Kutseharidus;0
2015;Valga maakond;Kutseharidus;0
2015;Viljandi maakond;Kutseharidus;0
2015;Võru maakond;Kutseharidus;1
2016;Harju maakond;Kutseharidus;0
2016;Hiiu maakond;Kutseharidus;1
2016;Ida-Viru maakond;Kutseharidus;0
2016;Jõgeva maakond;Kutseharidus;0
2016;Järva maakond;Kutseharidus;0
2016;Lääne maakond;Kutseharidus;0
2016;Lääne-Viru maakond;Kutseharidus;0
2016;Põlva maakond;Kutseharidus;0
2016;Pärnu maakond;Kutseharidus;0
2016;Rapla maakond;Kutseharidus;1
2016;Saare maakond;Kutseharidus;2
2016;Tartu maakond;Kutseharidus;0
2016;Valga maakond;Kutseharidus;0
2016;Viljandi maakond;Kutseharidus;0
2016;Võru maakond;Kutseharidus;1
2017;Harju maakond;Kutseharidus;0
2017;Hiiu maakond;Kutseharidus;1
2017;Ida-Viru maakond;Kutseharidus;0
2017;Jõgeva maakond;Kutseharidus;0
2017;Järva maakond;Kutseharidus;0
2017;Lääne maakond;Kutseharidus;0
2017;Lääne-Viru maakond;Kutseharidus;0
2017;Põlva maakond;Kutseharidus;0
2017;Pärnu maakond;Kutseharidus;0
2017;Rapla maakond;Kutseharidus;1
2017;Saare maakond;Kutseharidus;3
2017;Tartu maakond;Kutseharidus;0
2017;Valga maakond;Kutseharidus;0
2017;Viljandi maakond;Kutseharidus;0
2017;Võru maakond;Kutseharidus;3
2018;Harju maakond;Kutseharidus;0
2018;Hiiu maakond;Kutseharidus;1
2018;Ida-Viru maakond;Kutseharidus;0
2018;Jõgeva maakond;Kutseharidus;0
2018;Järva maakond;Kutseharidus;0
2018;Lääne maakond;Kutseharidus;0
2018;Lääne-Viru maakond;Kutseharidus;0
2018;Põlva maakond;Kutseharidus;0
2018;Pärnu maakond;Kutseharidus;0
2018;Rapla maakond;Kutseharidus;1
2018;Saare maakond;Kutseharidus;3
2018;Tartu maakond;Kutseharidus;0
2018;Valga maakond;Kutseharidus;0
2018;Viljandi maakond;Kutseharidus;0
2018;Võru maakond;Kutseharidus;3
2019;Harju maakond;Kutseharidus;0
2019;Hiiu maakond;Kutseharidus;1
2019;Ida-Viru maakond;Kutseharidus;0
2019;Jõgeva maakond;Kutseharidus;0
2019;Järva maakond;Kutseharidus;0
2019;Lääne maakond;Kutseharidus;0
2019;Lääne-Viru maakond;Kutseharidus;0
2019;Põlva maakond;Kutseharidus;0
2019;Pärnu maakond;Kutseharidus;0
2019;Rapla maakond;Kutseharidus;1
2019;Saare maakond;Kutseharidus;2
2019;Tartu maakond;Kutseharidus;0
2019;Valga maakond;Kutseharidus;0
2019;Viljandi maakond;Kutseharidus;0
2019;Võru maakond;Kutseharidus;3
2008;Harju maakond;Kõrgharidus;103
2008;Hiiu maakond;Kõrgharidus;12
2008;Ida-Viru maakond;Kõrgharidus;11
2008;Jõgeva maakond;Kõrgharidus;12
2008;Järva maakond;Kõrgharidus;22
2008;Lääne maakond;Kõrgharidus;33
2008;Lääne-Viru maakond;Kõrgharidus;46
2008;Põlva maakond;Kõrgharidus;27
2008;Pärnu maakond;Kõrgharidus;55
2008;Rapla maakond;Kõrgharidus;44
2008;Saare maakond;Kõrgharidus;24
2008;Tartu maakond;Kõrgharidus;98
2008;Valga maakond;Kõrgharidus;3
2008;Viljandi maakond;Kõrgharidus;23
2008;Võru maakond;Kõrgharidus;57
2009;Harju maakond;Kõrgharidus;119
2009;Hiiu maakond;Kõrgharidus;18
2009;Ida-Viru maakond;Kõrgharidus;12
2009;Jõgeva maakond;Kõrgharidus;12
2009;Järva maakond;Kõrgharidus;25
2009;Lääne maakond;Kõrgharidus;32
2009;Lääne-Viru maakond;Kõrgharidus;46
2009;Põlva maakond;Kõrgharidus;32
2009;Pärnu maakond;Kõrgharidus;66
2009;Rapla maakond;Kõrgharidus;48
2009;Saare maakond;Kõrgharidus;30
2009;Tartu maakond;Kõrgharidus;111
2009;Valga maakond;Kõrgharidus;4
2009;Viljandi maakond;Kõrgharidus;34
2009;Võru maakond;Kõrgharidus;68
2010;Harju maakond;Kõrgharidus;169
2010;Hiiu maakond;Kõrgharidus;18
2010;Ida-Viru maakond;Kõrgharidus;12
2010;Jõgeva maakond;Kõrgharidus;11
2010;Järva maakond;Kõrgharidus;26
2010;Lääne maakond;Kõrgharidus;32
2010;Lääne-Viru maakond;Kõrgharidus;56
2010;Põlva maakond;Kõrgharidus;30
2010;Pärnu maakond;Kõrgharidus;66
2010;Rapla maakond;Kõrgharidus;42
2010;Saare maakond;Kõrgharidus;29
2010;Tartu maakond;Kõrgharidus;118
2010;Valga maakond;Kõrgharidus;4
2010;Viljandi maakond;Kõrgharidus;32
2010;Võru maakond;Kõrgharidus;71
2011;Harju maakond;Kõrgharidus;192
2011;Hiiu maakond;Kõrgharidus;19
2011;Ida-Viru maakond;Kõrgharidus;11
2011;Jõgeva maakond;Kõrgharidus;12
2011;Järva maakond;Kõrgharidus;25
2011;Lääne maakond;Kõrgharidus;37
2011;Lääne-Viru maakond;Kõrgharidus;67
2011;Põlva maakond;Kõrgharidus;25
2011;Pärnu maakond;Kõrgharidus;73
2011;Rapla maakond;Kõrgharidus;52
2011;Saare maakond;Kõrgharidus;31
2011;Tartu maakond;Kõrgharidus;110
2011;Valga maakond;Kõrgharidus;4
2011;Viljandi maakond;Kõrgharidus;40
2011;Võru maakond;Kõrgharidus;77
2012;Harju maakond;Kõrgharidus;191
2012;Hiiu maakond;Kõrgharidus;19
2012;Ida-Viru maakond;Kõrgharidus;11
2012;Jõgeva maakond;Kõrgharidus;11
2012;Järva maakond;Kõrgharidus;24
2012;Lääne maakond;Kõrgharidus;37
