koht	pealkiri	aasta	žanr
Ameerika Ühendriigid	Minu spioonist isa	2018	Dokumentaalfilm
Amman (Jordaania)	Kahe maailma vahel	2014	Dokumentaalfilm, Portreefilm, Tudengifilm
Amme jõe paisjärv	Kevade	1969	Mängufilm, Täispikk mängufilm
Amme jõgi (Tartumaa)	Amme jõe saastamine	1991	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Amsterdam (Holland)	Erkki-Sven Tüür: 7 etüüdi piltides	2010	Dokumentaalfilm, Portreefilm, Muusikadokumentaal
Amsterdam (Holland)	Lõputa lugu "Estoniast"	1996	Dokumentaalfilm
Amsterdam (Holland)	Eesti partii	1993	Dokumentaalfilm, Portreefilm
Amuuri jõgi (Venemaa)	Kaugujumine Amuuril	1953	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Anacapri (Capri, Itaalia)	Euroopa seminar Roomas 1972	1972	Amatöörfilm, Kroonika
Anaheim (Ameerika Ühendriigid)	Reis ümber maailma 1965	1965	Amatöörfilm, Kroonika
Anapa (Venemaa)	Fritsud ja blondiinid	2008	Dokumentaalfilm, Probleemfilm
Andide mäeahelik	Eestlased Ameerika katusel	1998	Dokumentaalfilm, Olukirjeldusfilm
Andrewsi lennuväebaasi lennuväli (Ameerika Ühendriigid)	N. Hruštšov sõitis Ameerika Ühendriikidesse	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Angara jõgi (Venemaa)	Eesti NSV kunstidekaad Vene NFSV-s	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Angara jõgi (Venemaa)	Angara hüdroelektrijaama ehitusel	1954	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Angla (Saaremaa)	Angla tuulikud	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Angola	Eesti meremehed päästsid Angoola rannikul Saksa DV laeva	1984	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Anija (Harjumaa)	Kolhooside sotsialistlik võistlus	1954	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Anikatsi (Viljandimaa)	Pingeväljade aednik	2021	Dokumentaalfilm, Portreefilm
Anna (Järvamaa)	Teekond Tallinna 30.03.1989	1989	Amatöörfilm, Kroonika
Annapolis (Ameerika Ühendriigid)	Kaleva müsteerium	2012	Dokumentaalfilm, Probleemfilm
Anne kanal (Tartu)	Keskea rõõmud	1986	Mängufilm, Täispikk mängufilm
Anne küla (Võrumaa)	Viis nostalgiale	2012	Tudengifilm, Dokumentaalfilm
Annecy (Prantsusmaa)	Love Express	2018	Dokumentaalfilm, Portreefilm
Annelinn (Tartu)	Paradiis	2021	Dokumentaalfilm
Annelinn (Tartu)	Uus tõus, vana mõõn	2018	Dokumentaalfilm
Annelinn (Tartu)	Professionaalne amatöör	2008	Dokumentaalfilm, Portreefilm
Annelinn (Tartu)	40 aastat märtsiküüditamisest	1989	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Annelinn (Tartu)	Tartu haljastuse probleemidest	1985	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Annelinn (Tartu)	Tartu... sügis 1980	1981	Dokumentaalfilm, Probleemfilm, Vaatefilm
Annelinn (Tartu)	Minu Tartu	1980	Dokumentaalfilm
Annelinn (Tartu)	Uus elamurajoon	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Antarktika	Tulekahju paine	2013	Dokumentaalfilm
Antarktika	"Jäise raamatu" jälgedes	1975	Dokumentaalfilm
Antarktika	Juhan Smuul	1972	Dokumentaalfilm
Antarktika	Tormi poeg	1971	Dokumentaalfilm
Antarktika	Jääriik	1970	Dokumentaalfilm, Loodusfilm
Antarktika	Enderby valge maa	1969	Dokumentaalfilm
